joke,"He smiled thinly , savoring his joke ."
impart,"Decca is not the only large commercial company to impart instruction ."
arclike,"Their conversations were , almost invariably , accompanied by the same gestures -- arms and pointed forefingers darting toward each other in arclike semicircular motions ."
triple,"Governor Tawes announced that a triple swearing-in ceremony will be held in his office next Friday ."
budgetary,"SBA can make complete facilities inventories of all small business concerns in labor surplus areas within budgetary and staff limitations ."
fable,"Goethe used the fable to more elaborate ends ."
burne,"He warns that a single glance can lead us into temptation , for `` Looking eies have lyking hartes , and lyking hartes may burne in lust '' ."
graphic,"He did not wish to deceive Kayabashi exactly , just to display the mission activities in a graphic and impressive manner ."
dormant,"The fruit is then cooled to 42-degrees-F. , a temperature at which it lapses into a sort of dormant state ."
bridge,"Arch the back upwards to make a bridge ."
waiter,"I had brushed my teeth , showered , shaved and dressed by the time a waiter wheeled in breakfast ."
haute,"In a daring stroke , the Senate ventured forth last week into the world of haute cuisine and hired a $10,000-per-year French-born maitre d'hotel ."
wrought,"The famous old French and Spanish buildings with their elaborate wrought iron balconies and the narrow streets of the Latin Quarter present an Old World scene ."
liner,"Lemon was on with his fourth single of the game , a liner to center ."
uglier,"You are even uglier than Mr. Wright '' ."
overlap,"As these maladies overlap , so must the cure ."
pterygia,"There were bilateral pterygia and arcus senilis , and the mouth was edentulous ."
sulked,"The guy sulked over his drink , obviously upset by Haney's lack of appreciation ."
mayorship,"A man of vaulting ambition , with one eye on the mayorship of Los Angeles , nothing ever escaped him which might possibly lead to personal publicity ."
donate,"There are 70 children there and the mothers donate one day a week to the school ."
pate,"Baldness was attacking his pate ."
flushing,"If a lot of rust shows in the drain , use a good flushing cleaner ."
tyme,"A report of Sr. Edw Grevyles minaces to the Baileefe Aldermen & Burgesses of Stratforde '' tells how Quiney was injured by Greville's men : `` in the tyme Mr. Ryc' Quyney was bayleefe ther came some of them whoe beinge druncke fell to braweling in ther hosts howse wher thei druncke & drewe ther dagers uppon the hoste : att a faier tyme the Baileefe being late abroade to see the towne in order & comminge by in hurley burley came into the howse & commawnded the peace to be kept butt colde nott prevayle & in hys endevor to sticle the brawle had his heade grevouselye brooken by one of hys ( Greville's ) men whom nether hymselfe ( Greville ) punnished nor wolde suffer to be punnished but with a shewe to turne them awaye & enterteyned agayne '' ."
trilogy,"Four years after the publication of The History Of England , the first volume of Trevelyan's Queen Anne trilogy appeared ."
cherubim,"What otherwise could `` the lawyer , doctor , minister , the men of science and letters '' do when told that they had `` become the cherubim and seraphim and the three archangels who stood before the golden throne of the merchant , and continually cried , ' Holy , holy , holy is the Almighty Dollar ' `` ?"
shield,"The Iliad has two words for the shield , ASPIS and SAKOS ."
cubed,"Therefore , N is inversely proportional to the radius cubed and in fair agreement with the inverse 7/2 power derived from 1958 Alpha and 1959 Eta data ."
spic,"At 7:25 two hotel doormen came thumping down the steps , carrying a saw-horse to be set up as a barricade in front of the haberdashery store window next to the entranceway , and as I watched them in their gaudy red coats that nearly scraped the ground , their golden , fringed epaulets and spic , red-visored caps , I suddenly saw just over their shoulders Jessica gracefully making her way through the crowd ."
inflame,"The insistent , forceful penetration may tear and inflame the vaginal walls as well as do excessive damage to the hymen ."
dreamin,"Am I dreamin ?"
postcard,"She played chess with him by postcard ."
boil,"She was sore as a boil ."
print,"But it did print good verse and good fiction ."
yen,"Ever since I was a child , I have always had a yen to try my hand at writing ."
pub,"If , say , the Russians intended to stop Tom Jones' going to the pub , then Tom Jones would fight the Commies ."
stain,"This stain often disrupts the normal cell activity or else colors only the outside ."
culprit,"Finally he learned through the grapevine that the culprit might be one James W. Robinson in Pope County ."
fatboy,"Mr. Hearst's telegraphic code word for Victor Watson was `` fatboy '' ."
jocund,"The younger men , Vere , and Pembroke , who was also Edward's cousin and whose Lusignan blood gave him the swarthy complexion that caused Edward of Carnarvon's irreverent friend , Piers Gaveston , to nickname him `` Joseph the Jew '' , were relatively new to the game of diplomacy , but Pontissara had been on missions to Rome before , and Hotham , a man of great learning , `` jocund in speech , agreeable to meet , of honest religion , and pleasing in the eyes of all '' , and an archbishop to boot , was as reliable and experienced as Othon himself ."
flowering,"Their appearance , next spring , coincides in an almost uncanny way with the flowering of their host plants ."
persuading,"Giselle was reluctant but Alex succeeded in persuading her to come back in five minutes and the door was shut again ."
lower,"He did not lower his arm ."
cavorting,"Perhaps if Felix had first come upon us when this boy was not cavorting so gaily up and down the hall outside the murdered woman's apartment , we might have had less trouble convincing Felix of our seriousness ."
tumbled,"He smashed it in and tumbled into darkness ."
trembling,"The rancher was trembling ."
quok,"`` You can always tell a real gentleman -- they got a certain je ne say quok '' ."
bathing,"Poet came up from below , wearing new bathing trunks ."
wanted,"She wanted to know ."
luckier,"A dreadful fear entered my consciousness that perhaps he had entertained aspirations toward Viola's favors -- or , even more serious perhaps , that he had attained a share of them and had then been superseded by some luckier chap ."
autism,"We believe that autism , like so many other conditions of defect and deviation , is to a large extent inborn ."
yachting,"The Harbor is a big yachting basin in the summer ."
named,"A couple named Harris and Geely ."
lifer,"In case of a deadlock between prison boards and inmates , a federal arbitration board to include a `` lifer '' and two escapees should decide the issue ."
